p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.61023163893945e-07,-41.564049523515,0.505,0.261,0.00481509430435161,0,Tmcc2
4.91516665364174e-07,-2.0780922033299,0.439,0.229,0.00906700792597291,0,Hipk1
6.36309513062169e-07,-1.37316368259681,0.28,0.126,0.0117380015874578,0,Myo1d
7.05015617643441e-07,1.73018478572352,0.318,0.154,0.0130054230986686,0,Gse1
8.99700301593477e-07,1.95930584550741,0.29,0.128,0.0165967714634949,0,St3gal5
1.38087055025133e-06,-3.69718187438993,0.112,0.342,0.0254729190404863,0,Syk
1.50435882770289e-06,-3.75690658302505,0.925,0.819,0.0277509072946353,0,Filip1l
1.51540560289732e-06,-5.38104956487303,0.103,0.324,0.0279546871566469,0,Itgam
1.57779097330349e-06,-2.94366359676544,0.084,0.299,0.0291055100845296,0,Ppp3ca
1.95118398453364e-06,0.263963754523606,0.299,0.138,0.035993490962692,0,Pip4k2a
2.10157595708003e-06,-15.9217501541881,0.121,0.345,0.0387677716802552,0,Ngp
2.33563000319594e-06,-4.10643688654751,0.196,0.415,0.0430853666689555,0,Dock2
2.56870688606006e-06,-3.82242326086763,0.103,0.321,0.0473849359271499,0,Nedd9
2.95198973814756e-06,0.725469722753654,0.262,0.111,0.0544553546996081,0,Herc2
3.45839362649679e-06,-6.9579168339765,0.075,0.278,0.0637969872279864,0,Cd44
3.65356381200267e-06,1.54851963315217,0.299,0.139,0.0673972916400133,0,Zc3hav1
4.10592413715684e-06,-11.318232979917,0.327,0.156,0.0757419825581322,0,Suco
4.68158042314474e-06,0.788985106661952,0.477,0.278,0.086361114065751,0,Hnrnpa2b1
5.34121684186697e-06,0.712934838809341,0.262,0.116,0.0985294270819201,0,Pkn2
8.36946543550699e-06,-1.7870963459976,0.252,0.114,0.154391528888797,0,Dcaf6
1.06200546964233e-05,-7.76780195379682,0.224,0.427,0.195908148984921,0,Syne1
1.37040279435745e-05,4.17424961739502,0.411,0.244,0.252798203475119,0,Vps13b
1.53633487558943e-05,-22.9486182046199,0.159,0.349,0.283407694499982,0,S100a8
1.62694877079139e-05,-4.25044856456209,0.15,0.352,0.300123239747888,0,Prkcb
1.70397225779678e-05,0.931458759460215,0.327,0.168,0.314331762395772,0,Wapl
1.80484895530246e-05,-4.18868530867575,0.103,0.286,0.332940486784645,0,Msra
1.92885814095429e-05,-50.7075234158899,0.196,0.383,0.355816461261838,0,Ebf1
1.9439146048439e-05,-3.73208996547107,0.084,0.264,0.358593927155555,0,Tmsb4x
1.95917320076775e-05,-26.8676954808722,0.131,0.328,0.361408680345627,0,Ltf
2.01556839644678e-05,-9.0107714248261,0.15,0.353,0.371811902092538,0,Arhgap15
2.08067581874486e-05,-13.8435913048839,0.112,0.302,0.383822268283864,0,Lyst
3.08026989944004e-05,-2.92258466245665,0.131,0.333,0.568217388349705,0,Elmo1
3.60370771118156e-05,-11.3168358655095,0.542,0.344,0.664775961481662,0,Dennd4a
3.70950070167053e-05,-54.6965904168766,0.822,0.649,0.684291594437162,0,Il31ra
3.7677151695397e-05,-13.2408404043788,0.15,0.33,0.695030417324988,0,Aff3
4.08028909720912e-05,1.04774224720431,0.262,0.127,0.752690929762167,0,Rab10
4.13627917421171e-05,-3.29133143152964,0.112,0.288,0.763019419266834,0,Fli1
5.15466243890269e-05,0.707895020890803,0.411,0.241,0.95088058010438,0,Med13l
5.49214677643182e-05,1.78936938581037,0.318,0.164,1,0,Zdhhc14
6.13938730813562e-05,2.06051018928521,0.374,0.217,1,0,Usp15
6.62331749108626e-05,-1.75218181602512,0.308,0.154,1,0,Bsdc1
6.90560630766456e-05,-3.02119980842334,0.131,0.317,1,0,Inpp5d
7.65892493171024e-05,-1.19350416468797,0.093,0.273,1,0,Mir142hg
0.00011072493955011,-2.15498731549634,0.093,0.261,1,0,Btg1
0.000118473931971043,-2.5414608270685,0.178,0.358,1,0,Actb
0.000123323974485173,-0.521988828987221,0.318,0.178,1,0,Atf7ip
0.000126061084805869,0.86056113426532,0.336,0.191,1,0,Ptbp3
0.000138818987395596,-34.5615835357315,0.262,0.418,1,0,Bach2
0.00014068879048668,-3.78205478303495,0.121,0.29,1,0,Wdfy4
0.000152107417833334,-6.45748528193166,0.093,0.259,1,0,Lcp1
0.000161144467578348,-2.37619941415934,0.112,0.274,1,0,Ptprc
0.000193499555962386,-4.05570876369381,0.103,0.268,1,0,Ncf2
0.000205483416076366,0.676910873672311,0.346,0.204,1,0,D130009I18Rik
0.000273526073073493,0.337919484075729,0.28,0.151,1,0,Mkrn1
0.00033047192104543,-1.82031226264788,0.103,0.26,1,0,Ssh2
0.000367166561273956,0.907996066602206,0.14,0.305,1,0,Dock8
0.000460918070082756,0.623288731492374,0.355,0.212,1,0,Smg6
0.000507519666610066,-3.26821619884927,0.112,0.259,1,0,Arid1b
0.00111359009603337,-2.39066242540664,0.131,0.27,1,0,Zfand3
0.00119010781232497,0.805696283410653,0.28,0.161,1,0,Rnf10
0.0012819017644409,3.00040295496223,0.421,0.292,1,0,Plcl2
0.00133204980267315,-2.52870730424595,0.14,0.28,1,0,Fam107b
0.00134089615815598,-0.445614294187084,0.15,0.279,1,0,Zeb2
0.00171834475131856,0.925162284704097,0.262,0.151,1,0,Usp7
0.00182662159377927,2.42290497483058,0.318,0.198,1,0,Asap1
0.00191604099662073,0.94685825280605,0.336,0.215,1,0,Fcho2
0.00295511751866152,-2.36125700618283,0.421,0.308,1,0,Mtmr3
0.00308485964362274,-11.2192358374162,0.589,0.491,1,0,Gm15564
0.00482634947492274,-0.303742413976296,0.364,0.244,1,0,Rock1
0.00655084558868529,-1.24201324714598,0.467,0.328,1,0,Tut7
0.00853105178597035,-4.6644744756425,0.271,0.38,1,0,Foxp1
4.04575261615796e-155,3.50493079029063,0.337,0.002,7.46319985102659e-151,1,Serpinh1
1.26610224870418e-147,8.1667634640757,0.698,0.037,2.33557881818459e-143,1,Dst
4.13906196466672e-141,3.07416012889844,0.291,0.001,7.6353276062207e-137,1,Aebp1
2.28865660452965e-129,13.3978902575989,0.605,0.031,4.22188483837585e-125,1,Myo10
2.98357862158892e-128,24.2491102795517,0.302,0.003,5.50380748324507e-124,1,Tnc
2.64706855957826e-127,11.2334793832364,0.419,0.011,4.88304737185402e-123,1,Cald1
4.23333839821151e-125,11.8138301393211,0.419,0.011,7.80923934318076e-121,1,Sparc
6.30168007385073e-124,4.95534757477557,0.267,0.001,1.16247092322324e-119,1,Timp1
1.26139977996918e-119,3.5154337583268,0.349,0.006,2.32690417410914e-115,1,Fgfr1
1.96326256391084e-118,9.95890750177433,0.291,0.003,3.62163045164633e-114,1,Ngf
4.6346394588024e-114,19.1964418522027,0.523,0.025,8.54951940965278e-110,1,Ptprm
1.91721659188123e-111,12.5274888796196,0.512,0.025,3.5366894470433e-107,1,Apbb2
4.62346740643098e-110,15.5037386003362,0.302,0.005,8.52891032464323e-106,1,Col4a2
2.34888564959967e-107,4.31275814744138,0.291,0.004,4.33298935781652e-103,1,Hbegf
4.17791874651879e-104,3.63454193191209,0.291,0.005,7.70700671170321e-100,1,Amotl1
3.33569466229005e-102,5.00357773218279,0.384,0.013,6.15335594352645e-98,1,Samd4
5.15352581438299e-101,21.3235777095915,0.256,0.003,9.5067090697923e-97,1,Il11
9.10533266027815e-100,44.413256667091,0.267,0.004,1.67966071584151e-95,1,Col6a3
4.85723867545096e-99,18.3370534305067,0.302,0.006,8.96014818460439e-95,1,Col5a2
2.21763084413753e-97,4.87786789603522,0.256,0.003,4.0908636181805e-93,1,Hspg2
2.88539112390746e-85,8.42247637853496,0.267,0.006,5.32268100627209e-81,1,Dpysl3
1.02594826578333e-81,15.1882906476224,0.384,0.019,1.89256676589051e-77,1,Adam12
2.55441155033665e-80,4.6435774561491,0.291,0.009,4.71212298690602e-76,1,Tead1
6.36265143824237e-80,15.8387397225149,0.302,0.01,1.17371831081257e-75,1,Col4a1
1.49579608013787e-79,4.1927913263294,0.349,0.015,2.75929502903032e-75,1,Pard3
1.84943147229921e-73,9.68442702814452,0.291,0.011,3.41164623695035e-69,1,Stard13
1.39411874016394e-69,4.6028422986208,0.256,0.008,2.57173083998042e-65,1,Wwtr1
2.02102036971408e-69,34.2824742392879,0.547,0.058,3.72817627601156e-65,1,Inhba
1.1530087486836e-65,14.2061675572043,0.523,0.056,2.12695523869664e-61,1,Mast4
1.40545146612413e-65,5.32207091155076,0.442,0.036,2.59263631955918e-61,1,Pmepa1
2.72449295729739e-61,7.64567828800609,0.326,0.019,5.0258721583265e-57,1,Col5a1
8.10969379180771e-60,5.16949904608355,0.384,0.029,1.49599521377477e-55,1,Large1
1.84812254558678e-58,3.9041816031779,0.279,0.014,3.40923165984393e-54,1,Rapgef4
2.74977302622485e-57,5.07928785663588,0.326,0.021,5.07250630147699e-53,1,Mybbp1a
7.0065375629213e-56,32.3993821396099,0.314,0.02,1.29249598423209e-51,1,Col1a2
4.54311809969337e-55,5.82136055288863,0.279,0.015,8.38068995850436e-51,1,Flnb
1.13969547874979e-53,14.4432476362794,0.43,0.044,2.10239624964975e-49,1,Rbms3
5.1836386641496e-52,3.37014523182094,0.267,0.015,9.56225824375676e-48,1,Ube2e2
9.67531704718918e-49,6.28450819430816,0.314,0.024,1.78480573569499e-44,1,Pakap
1.8486866289418e-47,3.33011167155935,0.256,0.015,3.41027222440894e-43,1,Ppfibp1
4.1495396209086e-47,7.01010649655919,0.849,0.245,7.6546557386901e-43,1,Ncl
5.57608351876746e-46,3.2775145159493,0.279,0.019,1.02862012670703e-41,1,Tulp4
5.78562356888572e-45,16.4367942330102,0.267,0.019,1.06727397975235e-40,1,Col11a2
1.11986585263964e-43,18.0629211021367,0.407,0.05,2.06581653836434e-39,1,Glis3
2.98312017106833e-42,6.63725629848849,0.279,0.022,5.50296177956974e-38,1,Kcnma1
5.47275013839037e-42,6.64262783191866,0.256,0.018,1.00955821802887e-37,1,Cdc42bpa
1.08341037524519e-41,7.85265553950821,0.256,0.019,1.9985671192148e-37,1,PTPRG
8.03950613745326e-40,1.50099926271719,0.651,0.15,1.483047697176e-35,1,Hsp90ab1
8.38084768104558e-40,2.55345974548399,0.267,0.021,1.54601497172248e-35,1,Rps2
1.2743104875513e-38,7.69118084036346,0.314,0.032,2.35072055638587e-34,1,Pvt1
1.35042244431653e-37,3.40529249543697,0.256,0.021,2.49112428303071e-33,1,Dlc1
7.06380596733186e-37,13.2114898624994,0.267,0.024,1.30306028679371e-32,1,Nav1
2.06045799360361e-36,52.3909059529735,0.36,0.047,3.80092686080058e-32,1,Col1a1
3.10823991916845e-36,7.86483871400456,0.465,0.08,5.73377017889003e-32,1,Ext1
9.03903279310127e-36,2.75751743415169,0.279,0.027,1.66743037934339e-31,1,Nav3
1.42690342973376e-35,3.79763019407065,0.453,0.074,2.63220875682986e-31,1,Sptbn1
3.85449842754072e-35,11.1859123953508,0.36,0.047,7.11039324928436e-31,1,Ahnak
8.36186345890755e-35,3.2037709556085,0.326,0.038,1.54251295226468e-30,1,Arhgap31
2.17934201396814e-34,3.93860241614796,0.326,0.039,4.02023221316703e-30,1,Rpl3
3.36051863289594e-34,8.91554462590791,0.256,0.023,6.19914872210315e-30,1,Rai14
5.04983006220754e-34,3.72765196251227,0.372,0.052,9.31542151575424e-30,1,Vegfa
7.67288348823924e-34,2.82395656111281,0.523,0.102,1.41541681707549e-29,1,Eef1a1
9.5332610982664e-34,3.73461975602242,0.407,0.062,1.7586006747972e-29,1,Dock1
1.0206658195618e-33,-0.958040916501758,0.465,0.085,1.88282223734565e-29,1,Nav2
1.54433346456245e-33,2.90785021593893,0.256,0.024,2.84883194207836e-29,1,Tns1
1.08947946025979e-32,4.95423835337366,0.291,0.033,2.00976276034123e-28,1,Cacna1c
2.74572168933778e-31,2.78083079423167,0.267,0.028,5.0650328003214e-27,1,Hspa9
3.44992685365924e-31,2.67198335684788,0.267,0.028,6.36408006694519e-27,1,Ddx21
9.78240651980165e-31,10.2893433969433,0.279,0.032,1.80456053070781e-26,1,Itga5
1.58830411477573e-30,3.11195332120238,0.36,0.054,2.92994460052678e-26,1,Mdn1
2.35454802131888e-30,1.96665138803426,0.372,0.056,4.34343473492693e-26,1,Rplp2
7.58520478441881e-30,8.46586764872923,0.267,0.03,1.39924272658174e-25,1,Nrp2
3.08674151849602e-29,3.39262918373433,0.314,0.042,5.6941120791696e-25,1,Gas5
5.41591856783459e-29,3.14750509587521,0.372,0.061,9.99074498208446e-25,1,Nop56
5.75680713986876e-29,-2.58018680474961,0.372,0.06,1.06195821309159e-24,1,Itgb1
1.02003009127899e-28,6.34480630604299,0.36,0.058,1.88164950938235e-24,1,Npm1
1.83225189381933e-28,19.1498879219399,0.291,0.038,3.37995506852851e-24,1,Cdh13
5.19645653320538e-28,3.91249919152258,0.267,0.032,9.58590336680396e-24,1,Sh3pxd2a
4.32222179474928e-27,7.74556803193879,0.267,0.034,7.97320254477399e-23,1,Cdk14
8.86021025278062e-27,3.52218270696511,0.314,0.046,1.63444298533044e-22,1,Erc1
1.27096778128853e-26,3.05646521920039,0.314,0.047,2.34455426614295e-22,1,Set
3.01117122756765e-26,3.60964810309461,0.291,0.041,5.55470756349405e-22,1,Txnrd1
7.82381441068267e-26,2.16329109994526,0.279,0.038,1.44325904433863e-21,1,Nedd4
1.13902004697991e-25,66.4446199356283,0.337,0.057,2.10115028066384e-21,1,Fn1
1.93265197037712e-25,20.8036712712636,0.535,0.143,3.56516308975468e-21,1,Hspa5
1.54246786650248e-24,14.5245162072989,0.256,0.034,2.84539047333713e-20,1,Lmna
4.26257607982139e-24,2.49633124171764,0.337,0.059,7.86317409444652e-20,1,Rpsa
7.10523289868781e-24,5.76737457255673,0.326,0.055,1.31070231282094e-19,1,Kcnq1ot1
8.58298500988904e-24,3.8218988503699,0.267,0.038,1.58330324477423e-19,1,Nop58
1.22643975376092e-23,2.48927237332932,0.302,0.049,2.26241341376277e-19,1,Psmd1
9.60688196209484e-23,3.66339827550538,0.256,0.036,1.77218151554763e-18,1,Wdr43
1.51086989703228e-22,4.63819051052144,0.279,0.044,2.78710169905545e-18,1,Itgav
1.77381450141917e-22,3.40325484391141,0.547,0.16,3.27215561076795e-18,1,Rrbp1
2.15401660331581e-22,2.78356309412077,0.453,0.109,3.97351442813667e-18,1,Naa15
2.2856233828731e-22,2.32756531697062,0.291,0.048,4.21628945438601e-18,1,Wdr89
3.10896213401217e-22,1.48533261170102,0.279,0.044,5.73510244861224e-18,1,Rplp1
5.08158456487449e-22,3.97910977889949,0.36,0.075,9.37399904682397e-18,1,Trio
2.64186059930156e-21,2.23131323045318,0.256,0.038,4.87344024753158e-17,1,Rps15
8.3834378118141e-21,4.14383225703497,0.442,0.114,1.54649277314535e-16,1,Brd2
1.56317236334804e-20,3.2749140346936,0.349,0.074,2.88358405866814e-16,1,Rptor
2.25019211543422e-20,2.82707219141556,0.395,0.093,4.1509293953415e-16,1,Eif4g1
2.69902434436733e-20,3.49383691486024,0.616,0.223,4.97889020805441e-16,1,Msn
2.98806162857156e-20,2.04725886514647,0.256,0.041,5.51207728622596e-16,1,Eef1g
4.09335318250013e-20,2.19045827110142,0.279,0.048,7.55100861575799e-16,1,Rps12
4.98633118566747e-20,2.24027307134906,0.302,0.057,9.19828513820077e-16,1,Rpl23
5.47454998771067e-20,4.37290411196851,0.291,0.054,1.00989023623299e-15,1,Sox5
